"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Find All Elements","1","0","Поиск наличия всех нужных элементов","0"
"0","","0","","1","0","Поиск наличия ячейки 1","0"
"0","","0","Positive Test-Case","3","0","Ввод только требующихся полей","0"
"0","","0","","1","0","Поиск наличия кнопки подтверждения","0"
"0","","0","Negative Test-Case","3","0","Тест по заполнению все полей, кроме имени","0"
"0","","0","","1","0","Поиск наличия поле ввода пароля","0"
"0","","0","Positive Test-Case","3","0","Ввод всех полей","0"
"0","","0","","1","0","Поиск наличия поле ввода почты","0"
"0","","0","","1","0","Поиск наличия поле ввода сообщения","0"
"0","","0","","1","0","Поиск наличия ячейки 2","0"
"0","","0","Positive Test-Case","3","0","Неполный ввод полей, в том числе имени","0"
"0","","0","","1","0","Поиск наличия списка выбора пунктов","0"
"0","","0","","1","0","Поиск наличия радиоячейки","0"
"0","","0","","1","0","Поиск наличия поле ввода имени","0"
"0","","0","Negative Test-Case","1","0","Ввод некоторых полей","0"
